transaction_id,item_description,transaction_type,merchant
71,withdrawal Shell,withdrawal,Shell
72,purchase Shell,purchase,Shell
73,purchase Starbucks,purchase,Starbucks
74,purchase Walmart,purchase,Walmart
75,transfer Online Service,transfer,Online Service
76,purchase Walmart,purchase,Walmart
77,transfer Amazon,transfer,Amazon
78,transfer Walmart,transfer,Walmart
79,purchase Starbucks,purchase,Starbucks
80,transfer Amazon,transfer,Amazon
81,purchase Netflix,purchase,Netflix
82,withdrawal Shell,withdrawal,Shell
83,withdrawal Amazon,withdrawal,Amazon
84,transfer Netflix,transfer,Netflix
85,purchase Online Service,purchase,Online Service
86,purchase Shell,purchase,Shell
87,purchase Walmart,purchase,Walmart
88,transfer Local Store,transfer,Local Store
89,withdrawal Walmart,withdrawal,Walmart
90,withdrawal Netflix,withdrawal,Netflix
91,purchase Netflix,purchase,Netflix
92,purchase Netflix,purchase,Netflix
93,transfer Netflix,transfer,Netflix
94,purchase Netflix,purchase,Netflix
95,withdrawal Netflix,withdrawal,Netflix
96,transfer Starbucks,transfer,Starbucks
97,transfer Netflix,transfer,Netflix
98,withdrawal Amazon,withdrawal,Amazon
99,purchase Walmart,purchase,Walmart
100,transfer Online Service,transfer,Online Service
101,purchase Amazon,purchase,Amazon
102,transfer Starbucks,transfer,Starbucks
103,withdrawal Online Service,withdrawal,Online Service
104,transfer Local Store,transfer,Local Store
105,transfer Starbucks,transfer,Starbucks
106,withdrawal Shell,withdrawal,Shell
107,withdrawal Amazon,withdrawal,Amazon
108,transfer Walmart,transfer,Walmart
109,purchase Shell,purchase,Shell
110,withdrawal Netflix,withdrawal,Netflix
111,withdrawal Starbucks,withdrawal,Starbucks
112,purchase Amazon,purchase,Amazon
113,purchase Online Service,purchase,Online Service
114,withdrawal Local Store,withdrawal,Local Store
115,transfer Walmart,transfer,Walmart
116,withdrawal Netflix,withdrawal,Netflix
117,withdrawal Shell,withdrawal,Shell
118,purchase Shell,purchase,Shell
119,withdrawal Netflix,withdrawal,Netflix
120,transfer Shell,transfer,Shell
121,purchase Starbucks,purchase,Starbucks
122,withdrawal Local Store,withdrawal,Local Store
123,purchase Online Service,purchase,Online Service
124,transfer Walmart,transfer,Walmart
125,transfer Amazon,transfer,Amazon
126,transfer Local Store,transfer,Local Store
127,withdrawal Amazon,withdrawal,Amazon
128,purchase Walmart,purchase,Walmart
129,purchase Amazon,purchase,Amazon
130,purchase Starbucks,purchase,Starbucks
131,purchase Online Service,purchase,Online Service
132,purchase Walmart,purchase,Walmart
133,transfer Netflix,transfer,Netflix
134,withdrawal Walmart,withdrawal,Walmart
135,withdrawal Online Service,withdrawal,Online Service
136,purchase Starbucks,purchase,Starbucks
137,transfer Online Service,transfer,Online Service
138,transfer Online Service,transfer,Online Service
139,purchase Local Store,purchase,Local Store
140,withdrawal Shell,withdrawal,Shell
141,purchase Local Store,purchase,Local Store
142,purchase Netflix,purchase,Netflix
143,withdrawal Walmart,withdrawal,Walmart
144,withdrawal Local Store,withdrawal,Local Store
145,withdrawal Netflix,withdrawal,Netflix
146,purchase Shell,purchase,Shell
147,withdrawal Online Service,withdrawal,Online Service
148,transfer Local Store,transfer,Local Store
149,transfer Local Store,transfer,Local Store
150,purchase Online Service,purchase,Online Service
151,purchase Online Service,purchase,Online Service
152,transfer Amazon,transfer,Amazon
153,withdrawal Online Service,withdrawal,Online Service
154,withdrawal Local Store,withdrawal,Local Store
155,transfer Shell,transfer,Shell
156,transfer Walmart,transfer,Walmart
157,withdrawal Walmart,withdrawal,Walmart
158,withdrawal Starbucks,withdrawal,Starbucks
159,transfer Online Service,transfer,Online Service
160,transfer Online Service,transfer,Online Service
161,transfer Starbucks,transfer,Starbucks
162,transfer Starbucks,transfer,Starbucks
163,withdrawal Walmart,withdrawal,Walmart
164,purchase Local Store,purchase,Local Store
165,purchase Online Service,purchase,Online Service
166,withdrawal Shell,withdrawal,Shell
167,transfer Online Service,transfer,Online Service
168,purchase Amazon,purchase,Amazon
169,withdrawal Walmart,withdrawal,Walmart
170,purchase Local Store,purchase,Local Store
171,transfer Local Store,transfer,Local Store
172,purchase Online Service,purchase,Online Service
173,purchase Netflix,purchase,Netflix
174,transfer Netflix,transfer,Netflix
175,transfer Netflix,transfer,Netflix
176,withdrawal Amazon,withdrawal,Amazon
177,transfer Shell,transfer,Shell
178,transfer Online Service,transfer,Online Service
179,purchase Netflix,purchase,Netflix
180,purchase Walmart,purchase,Walmart
181,purchase Amazon,purchase,Amazon
182,purchase Amazon,purchase,Amazon
183,withdrawal Local Store,withdrawal,Local Store
184,purchase Starbucks,purchase,Starbucks
185,transfer Local Store,transfer,Local Store
186,withdrawal Starbucks,withdrawal,Starbucks
187,transfer Amazon,transfer,Amazon
188,transfer Amazon,transfer,Amazon
189,transfer Walmart,transfer,Walmart
190,transfer Amazon,transfer,Amazon
191,purchase Shell,purchase,Shell
192,transfer Online Service,transfer,Online Service
193,purchase Starbucks,purchase,Starbucks
194,withdrawal Amazon,withdrawal,Amazon
195,withdrawal Netflix,withdrawal,Netflix
196,purchase Local Store,purchase,Local Store
197,purchase Walmart,purchase,Walmart
198,withdrawal Netflix,withdrawal,Netflix
199,purchase Netflix,purchase,Netflix
200,withdrawal Netflix,withdrawal,Netflix
201,withdrawal Online Service,withdrawal,Online Service
202,withdrawal Starbucks,withdrawal,Starbucks
203,withdrawal Netflix,withdrawal,Netflix
204,purchase Starbucks,purchase,Starbucks
205,withdrawal Walmart,withdrawal,Walmart
206,transfer Amazon,transfer,Amazon
207,purchase Walmart,purchase,Walmart
208,withdrawal Walmart,withdrawal,Walmart
209,withdrawal Amazon,withdrawal,Amazon
210,purchase Amazon,purchase,Amazon
211,purchase Walmart,purchase,Walmart
212,transfer Starbucks,transfer,Starbucks
213,transfer Local Store,transfer,Local Store
214,purchase Walmart,purchase,Walmart
215,purchase Netflix,purchase,Netflix
216,purchase Starbucks,purchase,Starbucks
217,transfer Local Store,transfer,Local Store
218,transfer Shell,transfer,Shell
219,transfer Shell,transfer,Shell
220,withdrawal Walmart,withdrawal,Walmart
221,purchase Shell,purchase,Shell
222,withdrawal Walmart,withdrawal,Walmart
223,transfer Netflix,transfer,Netflix
224,transfer Walmart,transfer,Walmart
225,purchase Online Service,purchase,Online Service
226,withdrawal Starbucks,withdrawal,Starbucks
227,transfer Amazon,transfer,Amazon
228,purchase Netflix,purchase,Netflix
229,purchase Netflix,purchase,Netflix
230,transfer Local Store,transfer,Local Store
231,transfer Starbucks,transfer,Starbucks
232,purchase Starbucks,purchase,Starbucks
233,purchase Walmart,purchase,Walmart
234,purchase Starbucks,purchase,Starbucks
235,purchase Local Store,purchase,Local Store
236,purchase Starbucks,purchase,Starbucks
237,transfer Local Store,transfer,Local Store
238,transfer Starbucks,transfer,Starbucks
239,withdrawal Amazon,withdrawal,Amazon
240,withdrawal Shell,withdrawal,Shell
241,withdrawal Amazon,withdrawal,Amazon
242,transfer Netflix,transfer,Netflix
243,transfer Online Service,transfer,Online Service
244,transfer Walmart,transfer,Walmart
245,withdrawal Starbucks,withdrawal,Starbucks
246,withdrawal Shell,withdrawal,Shell
247,withdrawal Shell,withdrawal,Shell
248,withdrawal Shell,withdrawal,Shell
249,transfer Shell,transfer,Shell
250,transfer Local Store,transfer,Local Store
251,withdrawal Netflix,withdrawal,Netflix
252,withdrawal Shell,withdrawal,Shell
253,purchase Walmart,purchase,Walmart
254,withdrawal Local Store,withdrawal,Local Store
255,withdrawal Starbucks,withdrawal,Starbucks
256,purchase Shell,purchase,Shell
257,transfer Shell,transfer,Shell
258,purchase Netflix,purchase,Netflix
259,withdrawal Walmart,withdrawal,Walmart
260,withdrawal Walmart,withdrawal,Walmart
261,transfer Amazon,transfer,Amazon
262,withdrawal Amazon,withdrawal,Amazon
263,purchase Local Store,purchase,Local Store
264,withdrawal Walmart,withdrawal,Walmart
265,withdrawal Starbucks,withdrawal,Starbucks
266,withdrawal Starbucks,withdrawal,Starbucks
267,purchase Starbucks,purchase,Starbucks
268,withdrawal Walmart,withdrawal,Walmart
269,purchase Netflix,purchase,Netflix
270,transfer Local Store,transfer,Local Store
271,purchase Netflix,purchase,Netflix
272,transfer Walmart,transfer,Walmart
273,purchase Walmart,purchase,Walmart
274,purchase Amazon,purchase,Amazon
275,withdrawal Local Store,withdrawal,Local Store
276,transfer Shell,transfer,Shell
277,transfer Local Store,transfer,Local Store
278,withdrawal Walmart,withdrawal,Walmart
279,transfer Walmart,transfer,Walmart
280,purchase Amazon,purchase,Amazon
281,purchase Starbucks,purchase,Starbucks
282,withdrawal Netflix,withdrawal,Netflix
283,withdrawal Starbucks,withdrawal,Starbucks
284,transfer Shell,transfer,Shell
285,withdrawal Online Service,withdrawal,Online Service
286,purchase Online Service,purchase,Online Service
287,transfer Online Service,transfer,Online Service
288,withdrawal Starbucks,withdrawal,Starbucks
289,purchase Local Store,purchase,Local Store
290,transfer Local Store,transfer,Local Store
291,purchase Netflix,purchase,Netflix
292,transfer Starbucks,transfer,Starbucks
293,purchase Walmart,purchase,Walmart
294,transfer Amazon,transfer,Amazon
295,withdrawal Online Service,withdrawal,Online Service
296,purchase Netflix,purchase,Netflix
297,purchase Online Service,purchase,Online Service
298,withdrawal Walmart,withdrawal,Walmart
299,purchase Local Store,purchase,Local Store
300,withdrawal Shell,withdrawal,Shell
301,withdrawal Netflix,withdrawal,Netflix
302,transfer Walmart,transfer,Walmart
303,withdrawal Walmart,withdrawal,Walmart
304,purchase Online Service,purchase,Online Service
305,withdrawal Local Store,withdrawal,Local Store
306,withdrawal Walmart,withdrawal,Walmart
307,purchase Amazon,purchase,Amazon
308,withdrawal Local Store,withdrawal,Local Store
309,purchase Netflix,purchase,Netflix
310,transfer Netflix,transfer,Netflix
311,withdrawal Walmart,withdrawal,Walmart
312,withdrawal Walmart,withdrawal,Walmart
313,transfer Online Service,transfer,Online Service
314,withdrawal Local Store,withdrawal,Local Store
315,transfer Netflix,transfer,Netflix
316,purchase Online Service,purchase,Online Service
317,withdrawal Shell,withdrawal,Shell
318,transfer Local Store,transfer,Local Store
319,purchase Online Service,purchase,Online Service
320,purchase Amazon,purchase,Amazon
321,purchase Online Service,purchase,Online Service
322,withdrawal Amazon,withdrawal,Amazon
323,purchase Amazon,purchase,Amazon
324,purchase Netflix,purchase,Netflix
325,transfer Walmart,transfer,Walmart
326,purchase Walmart,purchase,Walmart
327,purchase Starbucks,purchase,Starbucks
328,transfer Amazon,transfer,Amazon
329,purchase Amazon,purchase,Amazon
330,transfer Starbucks,transfer,Starbucks
331,purchase Walmart,purchase,Walmart
332,transfer Amazon,transfer,Amazon
333,withdrawal Amazon,withdrawal,Amazon
334,transfer Amazon,transfer,Amazon
335,transfer Starbucks,transfer,Starbucks
336,purchase Shell,purchase,Shell
337,withdrawal Walmart,withdrawal,Walmart
338,purchase Netflix,purchase,Netflix
339,withdrawal Walmart,withdrawal,Walmart
340,purchase Netflix,purchase,Netflix
341,purchase Online Service,purchase,Online Service
342,withdrawal Online Service,withdrawal,Online Service
343,transfer Netflix,transfer,Netflix
344,transfer Netflix,transfer,Netflix
345,purchase Walmart,purchase,Walmart
346,purchase Starbucks,purchase,Starbucks
347,purchase Local Store,purchase,Local Store
348,withdrawal Netflix,withdrawal,Netflix
349,withdrawal Netflix,withdrawal,Netflix
350,purchase Local Store,purchase,Local Store
351,transfer Local Store,transfer,Local Store
352,withdrawal Local Store,withdrawal,Local Store
353,transfer Starbucks,transfer,Starbucks
354,withdrawal Amazon,withdrawal,Amazon
355,withdrawal Shell,withdrawal,Shell
356,transfer Starbucks,transfer,Starbucks
357,purchase Netflix,purchase,Netflix
358,withdrawal Online Service,withdrawal,Online Service
359,purchase Netflix,purchase,Netflix
360,withdrawal Starbucks,withdrawal,Starbucks
361,withdrawal Walmart,withdrawal,Walmart
362,purchase Shell,purchase,Shell
363,transfer Local Store,transfer,Local Store
364,purchase Local Store,purchase,Local Store
365,purchase Shell,purchase,Shell
366,withdrawal Online Service,withdrawal,Online Service
367,withdrawal Netflix,withdrawal,Netflix
368,withdrawal Amazon,withdrawal,Amazon
369,transfer Shell,transfer,Shell
370,purchase Starbucks,purchase,Starbucks
371,purchase Netflix,purchase,Netflix
372,purchase Netflix,purchase,Netflix
373,purchase Online Service,purchase,Online Service
374,withdrawal Online Service,withdrawal,Online Service
375,withdrawal Starbucks,withdrawal,Starbucks
376,withdrawal Amazon,withdrawal,Amazon
377,withdrawal Online Service,withdrawal,Online Service
378,purchase Online Service,purchase,Online Service
379,withdrawal Online Service,withdrawal,Online Service
380,withdrawal Shell,withdrawal,Shell
381,purchase Shell,purchase,Shell
382,withdrawal Walmart,withdrawal,Walmart
383,purchase Shell,purchase,Shell
384,withdrawal Amazon,withdrawal,Amazon
385,transfer Netflix,transfer,Netflix
386,transfer Starbucks,transfer,Starbucks
387,withdrawal Netflix,withdrawal,Netflix
388,purchase Online Service,purchase,Online Service
389,withdrawal Shell,withdrawal,Shell
390,purchase Walmart,purchase,Walmart
391,transfer Netflix,transfer,Netflix
392,purchase Walmart,purchase,Walmart
393,withdrawal Amazon,withdrawal,Amazon
394,withdrawal Amazon,withdrawal,Amazon
395,withdrawal Online Service,withdrawal,Online Service
396,purchase Starbucks,purchase,Starbucks
397,purchase Shell,purchase,Shell
398,purchase Starbucks,purchase,Starbucks
399,purchase Amazon,purchase,Amazon
400,withdrawal Shell,withdrawal,Shell
401,transfer Netflix,transfer,Netflix
402,withdrawal Local Store,withdrawal,Local Store
403,purchase Walmart,purchase,Walmart
404,transfer Starbucks,transfer,Starbucks
405,transfer Netflix,transfer,Netflix
406,transfer Shell,transfer,Shell
407,purchase Local Store,purchase,Local Store
408,withdrawal Local Store,withdrawal,Local Store
409,withdrawal Netflix,withdrawal,Netflix
410,purchase Local Store,purchase,Local Store
411,purchase Amazon,purchase,Amazon
412,purchase Shell,purchase,Shell
413,withdrawal Starbucks,withdrawal,Starbucks
414,withdrawal Local Store,withdrawal,Local Store
415,purchase Local Store,purchase,Local Store
416,withdrawal Shell,withdrawal,Shell
417,transfer Walmart,transfer,Walmart
418,withdrawal Shell,withdrawal,Shell
419,purchase Netflix,purchase,Netflix
420,withdrawal Netflix,withdrawal,Netflix
421,purchase Shell,purchase,Shell
422,transfer Amazon,transfer,Amazon
423,transfer Walmart,transfer,Walmart
424,transfer Walmart,transfer,Walmart
425,purchase Netflix,purchase,Netflix
426,withdrawal Walmart,withdrawal,Walmart
427,withdrawal Amazon,withdrawal,Amazon
428,transfer Netflix,transfer,Netflix
429,purchase Online Service,purchase,Online Service
430,purchase Walmart,purchase,Walmart
431,purchase Walmart,purchase,Walmart
432,purchase Starbucks,purchase,Starbucks
433,purchase Netflix,purchase,Netflix
434,purchase Local Store,purchase,Local Store
435,withdrawal Local Store,withdrawal,Local Store
436,transfer Amazon,transfer,Amazon
437,purchase Shell,purchase,Shell
438,purchase Walmart,purchase,Walmart
439,transfer Local Store,transfer,Local Store
440,withdrawal Shell,withdrawal,Shell
441,transfer Local Store,transfer,Local Store
442,transfer Amazon,transfer,Amazon
443,purchase Amazon,purchase,Amazon
444,withdrawal Online Service,withdrawal,Online Service
445,withdrawal Online Service,withdrawal,Online Service
446,purchase Netflix,purchase,Netflix
447,transfer Online Service,transfer,Online Service
448,purchase Starbucks,purchase,Starbucks
449,purchase Walmart,purchase,Walmart
450,transfer Walmart,transfer,Walmart
451,withdrawal Starbucks,withdrawal,Starbucks
452,withdrawal Netflix,withdrawal,Netflix
453,withdrawal Netflix,withdrawal,Netflix
454,withdrawal Starbucks,withdrawal,Starbucks
455,withdrawal Shell,withdrawal,Shell
456,transfer Online Service,transfer,Online Service
457,transfer Local Store,transfer,Local Store
458,purchase Online Service,purchase,Online Service
459,transfer Starbucks,transfer,Starbucks
460,transfer Netflix,transfer,Netflix
461,withdrawal Walmart,withdrawal,Walmart
462,purchase Amazon,purchase,Amazon
463,withdrawal Walmart,withdrawal,Walmart
464,purchase Starbucks,purchase,Starbucks
465,purchase Shell,purchase,Shell
466,withdrawal Local Store,withdrawal,Local Store
467,purchase Local Store,purchase,Local Store
468,withdrawal Local Store,withdrawal,Local Store
469,withdrawal Shell,withdrawal,Shell
470,withdrawal Online Service,withdrawal,Online Service
471,purchase Online Service,purchase,Online Service
472,purchase Walmart,purchase,Walmart
473,withdrawal Shell,withdrawal,Shell
474,purchase Local Store,purchase,Local Store
475,transfer Walmart,transfer,Walmart
476,withdrawal Amazon,withdrawal,Amazon
477,withdrawal Netflix,withdrawal,Netflix
478,withdrawal Starbucks,withdrawal,Starbucks
479,transfer Starbucks,transfer,Starbucks
480,transfer Amazon,transfer,Amazon
481,purchase Walmart,purchase,Walmart
482,transfer Online Service,transfer,Online Service
483,purchase Walmart,purchase,Walmart
484,purchase Walmart,purchase,Walmart
485,transfer Starbucks,transfer,Starbucks
486,transfer Starbucks,transfer,Starbucks
487,purchase Starbucks,purchase,Starbucks
488,purchase Online Service,purchase,Online Service
489,transfer Amazon,transfer,Amazon
490,purchase Local Store,purchase,Local Store
491,withdrawal Starbucks,withdrawal,Starbucks
492,purchase Local Store,purchase,Local Store
493,transfer Amazon,transfer,Amazon
494,purchase Shell,purchase,Shell
495,transfer Shell,transfer,Shell
496,withdrawal Netflix,withdrawal,Netflix
497,purchase Online Service,purchase,Online Service
498,transfer Shell,transfer,Shell
499,purchase Walmart,purchase,Walmart
500,transfer Shell,transfer,Shell
501,withdrawal Online Service,withdrawal,Online Service
502,transfer Amazon,transfer,Amazon
503,transfer Shell,transfer,Shell
504,purchase Netflix,purchase,Netflix
505,purchase Walmart,purchase,Walmart
506,transfer Online Service,transfer,Online Service
507,purchase Shell,purchase,Shell
508,purchase Online Service,purchase,Online Service
509,withdrawal Local Store,withdrawal,Local Store
510,withdrawal Walmart,withdrawal,Walmart
511,transfer Starbucks,transfer,Starbucks
512,transfer Walmart,transfer,Walmart
513,withdrawal Local Store,withdrawal,Local Store
514,transfer Starbucks,transfer,Starbucks
515,transfer Local Store,transfer,Local Store
516,withdrawal Amazon,withdrawal,Amazon
517,withdrawal Netflix,withdrawal,Netflix
518,purchase Local Store,purchase,Local Store
519,purchase Amazon,purchase,Amazon
520,purchase Starbucks,purchase,Starbucks
521,transfer Walmart,transfer,Walmart
522,purchase Netflix,purchase,Netflix
523,transfer Shell,transfer,Shell
524,withdrawal Local Store,withdrawal,Local Store
525,purchase Walmart,purchase,Walmart
526,transfer Online Service,transfer,Online Service
527,transfer Shell,transfer,Shell
528,transfer Starbucks,transfer,Starbucks
529,withdrawal Shell,withdrawal,Shell
530,purchase Online Service,purchase,Online Service
531,withdrawal Walmart,withdrawal,Walmart
532,withdrawal Online Service,withdrawal,Online Service
533,withdrawal Local Store,withdrawal,Local Store
534,transfer Shell,transfer,Shell
535,transfer Local Store,transfer,Local Store
536,withdrawal Amazon,withdrawal,Amazon
537,transfer Walmart,transfer,Walmart
538,purchase Local Store,purchase,Local Store
539,transfer Amazon,transfer,Amazon
540,purchase Local Store,purchase,Local Store
541,purchase Netflix,purchase,Netflix
542,withdrawal Online Service,withdrawal,Online Service
543,transfer Online Service,transfer,Online Service
544,purchase Starbucks,purchase,Starbucks
545,purchase Walmart,purchase,Walmart
546,transfer Starbucks,transfer,Starbucks
547,purchase Amazon,purchase,Amazon
548,withdrawal Local Store,withdrawal,Local Store
549,purchase Local Store,purchase,Local Store
550,withdrawal Netflix,withdrawal,Netflix
551,transfer Shell,transfer,Shell
552,purchase Starbucks,purchase,Starbucks
553,withdrawal Walmart,withdrawal,Walmart
554,purchase Local Store,purchase,Local Store
555,withdrawal Starbucks,withdrawal,Starbucks
556,transfer Starbucks,transfer,Starbucks
557,purchase Starbucks,purchase,Starbucks
558,purchase Local Store,purchase,Local Store
559,purchase Starbucks,purchase,Starbucks
560,purchase Local Store,purchase,Local Store
561,transfer Starbucks,transfer,Starbucks
562,withdrawal Amazon,withdrawal,Amazon
563,purchase Walmart,purchase,Walmart
564,purchase Local Store,purchase,Local Store
565,transfer Walmart,transfer,Walmart
566,transfer Netflix,transfer,Netflix
567,withdrawal Shell,withdrawal,Shell
568,purchase Online Service,purchase,Online Service
569,withdrawal Netflix,withdrawal,Netflix
570,transfer Amazon,transfer,Amazon
571,transfer Shell,transfer,Shell
572,purchase Shell,purchase,Shell
573,transfer Netflix,transfer,Netflix
574,withdrawal Starbucks,withdrawal,Starbucks
575,purchase Amazon,purchase,Amazon
576,withdrawal Amazon,withdrawal,Amazon
577,withdrawal Walmart,withdrawal,Walmart
578,purchase Amazon,purchase,Amazon
579,purchase Shell,purchase,Shell
580,purchase Amazon,purchase,Amazon
581,transfer Amazon,transfer,Amazon
582,withdrawal Walmart,withdrawal,Walmart
583,transfer Local Store,transfer,Local Store
584,withdrawal Local Store,withdrawal,Local Store
585,withdrawal Netflix,withdrawal,Netflix
586,purchase Netflix,purchase,Netflix
587,purchase Shell,purchase,Shell
588,purchase Amazon,purchase,Amazon
589,purchase Netflix,purchase,Netflix
590,purchase Local Store,purchase,Local Store
591,transfer Starbucks,transfer,Starbucks
592,transfer Shell,transfer,Shell
593,purchase Amazon,purchase,Amazon
594,purchase Local Store,purchase,Local Store
595,transfer Amazon,transfer,Amazon
596,transfer Local Store,transfer,Local Store
597,transfer Shell,transfer,Shell
598,withdrawal Online Service,withdrawal,Online Service
599,withdrawal Starbucks,withdrawal,Starbucks
600,transfer Netflix,transfer,Netflix
601,purchase Amazon,purchase,Amazon
602,withdrawal Starbucks,withdrawal,Starbucks
603,withdrawal Walmart,withdrawal,Walmart
604,purchase Netflix,purchase,Netflix
605,withdrawal Online Service,withdrawal,Online Service
606,withdrawal Netflix,withdrawal,Netflix
607,withdrawal Local Store,withdrawal,Local Store
608,purchase Shell,purchase,Shell
609,purchase Online Service,purchase,Online Service
610,withdrawal Online Service,withdrawal,Online Service
611,withdrawal Walmart,withdrawal,Walmart
612,transfer Netflix,transfer,Netflix
613,transfer Local Store,transfer,Local Store
614,purchase Shell,purchase,Shell
615,withdrawal Netflix,withdrawal,Netflix
616,withdrawal Shell,withdrawal,Shell
617,purchase Netflix,purchase,Netflix
618,transfer Netflix,transfer,Netflix
619,withdrawal Amazon,withdrawal,Amazon
620,withdrawal Starbucks,withdrawal,Starbucks
621,purchase Netflix,purchase,Netflix
622,transfer Amazon,transfer,Amazon
623,withdrawal Shell,withdrawal,Shell
624,purchase Local Store,purchase,Local Store
625,withdrawal Starbucks,withdrawal,Starbucks
626,withdrawal Local Store,withdrawal,Local Store
627,transfer Walmart,transfer,Walmart
628,transfer Netflix,transfer,Netflix
629,transfer Netflix,transfer,Netflix
630,withdrawal Walmart,withdrawal,Walmart
631,purchase Netflix,purchase,Netflix
632,withdrawal Amazon,withdrawal,Amazon
633,withdrawal Local Store,withdrawal,Local Store
634,withdrawal Netflix,withdrawal,Netflix
635,purchase Walmart,purchase,Walmart
636,purchase Netflix,purchase,Netflix
637,transfer Starbucks,transfer,Starbucks
638,transfer Amazon,transfer,Amazon
639,transfer Starbucks,transfer,Starbucks
640,withdrawal Local Store,withdrawal,Local Store
641,purchase Amazon,purchase,Amazon
642,withdrawal Walmart,withdrawal,Walmart
643,transfer Shell,transfer,Shell
644,transfer Walmart,transfer,Walmart
645,transfer Walmart,transfer,Walmart
646,transfer Online Service,transfer,Online Service
647,purchase Online Service,purchase,Online Service
648,withdrawal Amazon,withdrawal,Amazon
649,withdrawal Local Store,withdrawal,Local Store
650,transfer Shell,transfer,Shell
651,transfer Amazon,transfer,Amazon
652,withdrawal Netflix,withdrawal,Netflix
653,transfer Amazon,transfer,Amazon
654,withdrawal Walmart,withdrawal,Walmart
655,transfer Starbucks,transfer,Starbucks
656,withdrawal Starbucks,withdrawal,Starbucks
657,purchase Starbucks,purchase,Starbucks
658,withdrawal Shell,withdrawal,Shell
659,purchase Walmart,purchase,Walmart
660,withdrawal Netflix,withdrawal,Netflix
661,purchase Online Service,purchase,Online Service
662,withdrawal Netflix,withdrawal,Netflix
663,withdrawal Netflix,withdrawal,Netflix
664,transfer Amazon,transfer,Amazon
665,purchase Local Store,purchase,Local Store
666,transfer Online Service,transfer,Online Service
667,purchase Shell,purchase,Shell
668,withdrawal Amazon,withdrawal,Amazon
669,transfer Amazon,transfer,Amazon
670,transfer Netflix,transfer,Netflix
671,purchase Amazon,purchase,Amazon
672,transfer Walmart,transfer,Walmart
673,purchase Local Store,purchase,Local Store
674,transfer Walmart,transfer,Walmart
675,withdrawal Netflix,withdrawal,Netflix
676,withdrawal Walmart,withdrawal,Walmart
677,purchase Amazon,purchase,Amazon
678,withdrawal Amazon,withdrawal,Amazon
679,transfer Netflix,transfer,Netflix
680,withdrawal Starbucks,withdrawal,Starbucks
681,withdrawal Shell,withdrawal,Shell
682,purchase Amazon,purchase,Amazon
683,transfer Shell,transfer,Shell
684,purchase Amazon,purchase,Amazon
685,purchase Walmart,purchase,Walmart
686,purchase Netflix,purchase,Netflix
